config_id,width_multiplier,intra_op_threads,batch_size,input_size,accuracy,energy_kwh,latency_sec,throughput,params
w0.5_t1_b16_r24,0.5,1,16,24,80.0,8.448e-05,0.210792,75.9,351017
w0.5_t1_b16_r28,0.5,1,16,28,81.0,4.683e-05,0.093355,171.39,351017
w0.5_t1_b32_r24,0.5,1,32,24,80.0,0.00014574,0.446198,71.72,351017
w0.5_t1_b32_r28,0.5,1,32,28,81.0,7.627e-05,0.190619,167.87,351017
w0.5_t1_b64_r24,0.5,1,64,24,80.0,6.145e-05,0.134562,475.62,351017
w0.5_t1_b64_r28,0.5,1,64,28,81.0,6.6e-05,0.160322,399.2,351017
w0.5_t2_b16_r24,0.5,2,16,24,80.0,0.00028509,0.838071,19.09,351017
w0.5_t2_b16_r28,0.5,2,16,28,81.0,0.00022669,0.63513,25.19,351017
w0.5_t2_b32_r24,0.5,2,32,24,80.0,6.21e-05,0.156534,204.43,351017
w0.5_t2_b32_r28,0.5,2,32,28,81.0,4.209e-05,0.101296,315.91,351017
w0.5_t2_b64_r24,0.5,2,64,24,80.0,2.379e-05,0.069653,918.84,351017
w0.5_t2_b64_r28,0.5,2,64,28,81.0,4.327e-05,0.10273,622.99,351017
w0.5_t4_b16_r24,0.5,4,16,24,80.0,3.579e-05,0.077139,207.42,351017
w0.5_t4_b16_r28,0.5,4,16,28,81.0,3.633e-05,0.077801,205.65,351017
w0.5_t4_b32_r24,0.5,4,32,24,80.0,3.815e-05,0.086924,368.14,351017
