trial,accuracy,latency_sec,energy_kwh,width_multiplier,input_resolution,batch_size,intra_op_threads,dropout,learning_rate,weight_decay,loss_name,fc_hidden_dim,stage_depth
30,88.7883008356546,0.04651978773271872,0.0004218725878647834,2.0,32,32,8,0.2,0.004511743016362589,1.2764187115782018e-06,kl_divergence,0,shallow
56,88.44011142061281,0.030596895564554465,0.0002764993240668879,2.0,24,32,8,0.2,0.0009586422015934558,1.905884297645861e-05,focal,128,shallow
36,87.24233983286908,0.05150843659449029,0.0007708279039147596,2.0,32,16,8,0.2,0.003632681937113527,3.669896517519373e-06,focal,0,shallow
33,86.62952646239555,0.011964975605783091,0.00019037320212528453,1.0,32,16,8,0.2,0.002392631745506634,7.862384518699198e-06,focal,0,shallow
38,85.69637883008356,0.7843138065545888,0.012414622491309115,2.0,28,16,1,0.2,0.0019081275241757808,3.4693726053970006e-05,focal,0,shallow
28,85.26462395543176,0.02633109863123132,0.0002175792029956416,1.0,32,32,8,0.2,0.0036610468744762157,6.7696725291025185e-06,focal,0,shallow
35,83.80222841225627,0.02699129403577101,0.0004057015322240435,1.0,32,16,8,0.0,0.0023765246554375706,1.09860162547464e-05,focal,0,standard
41,83.77437325905292,0.02540632339872685,0.00034151801297510246,1.0,32,16,1,0.1,0.0019926505426881478,1.1744632815739942e-05,focal,128,standard
32,82.92479108635098,0.021842816127941245,0.0006321909923485136,1.0,32,8,8,0.2,0.003103867293361343,1.182702466982524e-06,focal,0,shallow
44,82.84122562674095,0.0193575064766787,0.00031069170210674247,2.0,28,16,8,0.5,0.0007812811482047458,3.812823927374312e-05,focal,128,shallow
1,82.31197771587743,0.029809968670684854,0.0017633552695619158,1.0,28,4,8,0.2,0.0036481562448555773,0.0003113095956122125,cross_entropy,0,standard
42,80.89136490250696,0.974699773280705,0.005722962906642709,2.0,24,16,1,0.5,0.004172345947619642,1.2104965014190657e-05,kl_divergence,128,standard
50,80.37604456824512,0.055156808851840586,0.0018044830464554883,1.5,32,8,4,0.1,0.0007507553746400197,1.3030495546369985e-05,kl_divergence,512,deep
37,79.17827298050139,0.012126594906328515,0.00020881107126343587,1.0,24,16,8,0.2,0.002433279046389881,3.267227489682773e-06,kl_divergence,0,shallow
29,79.08077994428969,0.051314096395961115,0.0004645840871285465,2.0,32,32,8,0.2,0.0045913358358005505,8.011833425841578e-06,kl_divergence,0,shallow
2,78.14763231197772,0.0514977474272665,0.00018080741968508178,2.0,24,32,1,0.3,0.003936056322262534,1.8707420137660263e-05,kl_divergence,128,shallow
19,78.1058495821727,0.026730020319422086,0.00023739678142939628,1.0,32,32,2,0.2,0.0014429576174588685,8.246539449849995e-05,focal,512,shallow
46,77.72980501392757,0.08007296529729246,0.00017524350697386483,1.0,32,128,4,0.5,0.0049453108807799235,2.5951897317565737e-05,kl_divergence,256,standard
27,77.57660167130919,0.23632728006187464,0.016440054961056723,1.0,32,4,8,0.2,0.0037875548539961857,6.37419367010318e-06,focal,0,shallow
12,77.2841225626741,0.6933036038627554,0.0015862192877269033,1.0,32,128,1,0.1,0.0027649651983460157,3.823208752556155e-05,kl_divergence,512,deep
45,77.2841225626741,0.5947706241065851,0.0025720002357743324,1.5,32,64,4,0.2,0.004262753036468563,0.0006031382399325333,kl_divergence,256,standard
53,77.13091922005572,0.03166276450737697,0.00047952255721862575,1.5,32,16,1,0.0,0.0011510527679022442,0.000171394878054467,focal,512,shallow
48,76.90807799442896,0.006886285446158774,0.000470507486194957,1.0,32,4,8,0.2,0.000841133297744972,2.2775470936517858e-06,focal,512,standard
34,76.86629526462396,0.024253682269691955,0.00035814317866660446,1.0,28,16,4,0.1,0.0018159557842940632,1.0291203826573667e-06,focal,0,deep
31,75.51532033426184,0.15374618247000993,0.0051402867767822635,2.0,32,8,8,0.3,0.0037563349999473724,1.2000766040050509e-06,focal,0,shallow
11,75.18105849582173,0.229895688278862,0.0005274347913273021,1.5,32,128,4,0.2,0.0017363764081760392,0.00029296047217746394,focal,512,shallow
26,75.13927576601671,0.06277903840607317,0.0035825600043532615,0.5,20,4,8,0.2,0.003294933999469003,8.808515937436986e-05,cross_entropy,0,deep
20,75.01392757660167,0.02559836564482086,0.0002008120328168244,1.0,32,32,2,0.2,0.0013244494844415978,6.892804647834612e-06,focal,128,shallow
43,74.91643454038997,0.016809819953283813,0.00021250558002343313,1.5,24,16,1,0.5,0.0015854571674896165,1.9844241828019236e-06,kl_divergence,0,shallow
16,74.84679665738162,0.040349827751731585,0.00018353737755102858,0.5,32,64,8,0.0,0.0022856067698624593,2.353304059023797e-05,cross_entropy,512,shallow
7,74.8050139275766,0.10552269263242028,9.155263303013065e-05,1.0,24,128,1,0.5,0.0008845064288527407,2.6539376439360543e-05,focal,256,standard
54,74.69359331476323,0.023542332264878903,0.00042920635753827217,1.0,28,16,1,0.0,0.0011823027205819174,0.003678960660907256,focal,512,shallow
39,74.3732590529248,0.013864714548070574,0.00019039539967455855,0.5,28,16,1,0.3,0.0005118993840577074,5.4714237069434726e-05,kl_divergence,0,deep
58,74.26183844011142,0.03241452615087231,0.0002922168205162795,2.0,24,32,8,0.2,0.0009706143120682596,5.008231726476845e-05,focal,512,shallow
59,74.09470752089136,0.019548941884810725,0.0001570824640320614,2.0,24,32,8,0.2,0.0025907035505266275,5.300504005158372e-05,focal,128,shallow
40,74.08077994428969,0.06073006424059332,0.0009007129201021216,1.0,20,16,4,0.1,0.0018929522852919917,0.00011454288280663174,focal,0,standard
0,73.56545961002786,0.009709183146349257,7.782715698364993e-05,1.0,32,32,8,0.2,0.002416590316244233,5.762487216478604e-05,focal,512,shallow
57,73.42618384401115,0.03744521497748792,0.00033986015873510616,2.0,24,32,8,0.2,0.002622009690062713,1.7786136856082953e-05,focal,128,shallow
49,72.95264623955431,0.060645980387796394,0.0043849614698753024,1.0,32,4,8,0.2,0.000707328932256889,1.4128981778876996e-05,focal,512,deep
10,72.25626740947075,0.28388312373620767,0.0006512423092929719,2.0,28,128,4,0.5,0.0006536717509959896,1.86426408081143e-05,kl_divergence,0,shallow
52,72.13091922005572,0.06287680508715934,0.00014608969369098347,1.0,32,128,8,0.3,0.0008816457728400904,0.007813783663529278,cross_entropy,256,shallow
22,71.72701949860725,0.011826874003517451,0.0003433482964690567,1.0,24,8,2,0.3,0.001291786697750926,0.0011702095176333055,cross_entropy,128,shallow
6,71.22562674094708,0.07841190760023892,0.0002696378529167869,1.5,28,32,1,0.5,0.0009671887948595101,0.00023085168151108022,focal,512,deep
17,70.45961002785515,0.02738047179559039,0.0002455542148813224,1.0,32,32,8,0.2,0.0027761029730445346,1.7213498802681108e-05,focal,512,shallow
18,69.3732590529248,0.023426977212851245,0.00021057160557588043,1.0,32,32,8,0.2,0.0027864334666742405,7.028142177040669e-05,focal,512,shallow
47,69.23398328690807,0.028813701796765744,0.00013168686472612198,1.5,24,64,8,0.0,0.0011157337892483657,0.00046277738685100906,focal,0,shallow
21,66.25348189415041,0.019183111066619556,0.0001601765813116652,1.0,24,32,2,0.2,0.0013939456815364292,0.0017038726507548586,focal,128,shallow
15,65.6267409470752,0.038730722654248234,0.000176707797979322,0.5,32,64,8,0.0,0.002150992317523369,0.004906884484754098,cross_entropy,512,shallow
4,65.57103064066852,0.069629202582356,0.00030691227065754364,2.0,32,32,2,0.1,0.000510701408880524,2.546162816127691e-06,focal,0,standard
25,65.30640668523677,0.02032612573681088,0.00032176132473395435,0.5,20,16,8,0.3,0.0033048766942091433,8.644725471847264e-05,cross_entropy,256,deep
55,63.70473537604457,0.025415600966641427,0.00045926148168320697,1.0,28,16,8,0.5,0.0016589930715642574,1.7475208919888975e-05,focal,128,deep
5,63.45403899721448,0.1626105427815639,0.002556809400497199,1.5,24,16,8,0.1,0.004630467319031138,0.007152863022216534,kl_divergence,128,standard
51,60.26462395543175,0.04112240090240947,0.00018864582375561549,1.0,32,64,8,0.2,0.0005923760811845861,2.056373638766367e-06,focal,512,standard
13,59.749303621169915,0.16442094415655,0.00040207494388046954,1.5,20,128,4,0.5,0.0010434444233885498,0.00045298939600611093,focal,256,standard
14,57.53481894150418,0.11225193480351132,0.0005077337555254115,1.5,28,64,8,0.0,0.002026442096362083,0.00019848202868837805,focal,512,standard
23,56.532033426183844,0.007004202828511679,0.0004338038528576804,1.0,20,4,2,0.2,0.0013410217510256878,0.0016941996834561475,cross_entropy,256,shallow
3,55.65459610027855,0.01526461230287067,0.00020846349205764077,1.5,20,8,1,0.3,0.0017168987657092886,2.2969898716342096e-06,kl_divergence,128,deep
24,42.21448467966574,0.013274326069088533,0.0009153329418714397,0.5,20,4,2,0.2,0.0013265336155571163,4.437162100610844e-06,cross_entropy,256,deep
